ZipCode,City,State,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
98570,Onalaska,WA,36521,43,124.8,65,22.5,69,76.6,48,5.3,37,8.7,14,16.9,5,3577,29,2.8,76,38.6,65,93.6,57,63.6,65,8.5,36,91.8,56,0.1,18,1.3,71,1.9,49
98823,Ephrata,WA,36670,43,100.6,50,21.1,50,72.2,34,5.4,44,19.3,61,34.5,72,9880,56,2.7,69,35.1,29,94.4,61,63,61,10.1,61,84.4,40,0.2,23,0.6,54,12.4,84
98862,Winthrop,WA,36736,43,171.3,81,29,98,75.8,45,4.7,9,36.5,86,37.5,79,1938,10,2.1,3,44.8,95,96.8,72,63.3,63,14.5,95,96.4,76,0.5,35,0.3,41,1,32
98002,Auburn,WA,36991,44,132.4,68,25.9,93,49.5,7,4.7,8,12.9,36,22.4,23,30905,87,2.4,28,34,21,90.1,38,50.6,13,16.2,98,79.2,33,2.4,57,3.5,87,8.3,79
98204,Everett,WA,36944,44,141.2,71,26.2,94,33,3,4,3,13.9,41,22,21,31686,88,2.4,28,29.4,5,104.9,91,45.4,7,16.7,98,69.2,24,4.1,64,9.3,95,11.1,83
98204,Everett,WA,36944,44,141.2,71,26.2,94,33,3,4,3,13.9,41,22,21,31686,88,2.4,28,29.4,5,104.9,91,45.4,7,16.7,98,69.2,24,4.1,64,9.3,95,11.1,83
98801,Wenatchee,WA,36929,44,151.7,75,23.7,81,61.8,17,5.3,34,23.7,71,31.9,65,36655,91,2.6,61,34.9,28,92.3,50,59.2,38,11.2,75,76.9,31,0.1,17,0.7,58,19.7,89
98837,Moses Lake,WA,36859,44,108.1,56,22.2,65,66.7,23,5.3,34,14.8,46,27.4,48,32410,88,2.8,81,31.5,10,95.2,65,59.4,39,9.6,53,73,27,1.6,51,1.1,68,20.5,90
98937,Naches,WA,36860,44,119.4,62,23.8,82,73,36,5,17,13.7,40,25.5,38,3104,24,2.4,20,40.3,80,92,49,67.9,88,9.2,48,87.5,46,0,1,0.7,58,8.6,79
98148,Seattle,WA,37411,46,176.2,82,24.1,84,42.8,5,4.4,5,18.1,58,25.1,36,9533,55,2.2,6,36.2,39,92,49,46.2,8,18.7,99,68.1,23,5.4,68,8.5,95,10.6,82
98148,Seattle,WA,37411,46,176.2,82,24.1,84,42.8,5,4.4,5,18.1,58,25.1,36,9533,55,2.2,6,36.2,39,92,49,46.2,8,18.7,99,68.1,23,5.4,68,8.5,95,10.6,82
98148,Seattle,WA,37411,46,176.2,82,24.1,84,42.8,5,4.4,5,18.1,58,25.1,36,9533,55,2.2,6,36.2,39,92,49,46.2,8,18.7,99,68.1,23,5.4,68,8.5,95,10.6,82
