ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98332,3.90,3.20,39.10,6.70,13.90,8.30,27.20,16.60,1.40,24.20,7.70,16.60,10.90,11.50,4.40,2.20,4.60,4.30,61226
98335,2.70,2.60,42.70,9,12.10,10.70,27,16.40,0.50,22.60,7.80,14.60,9.90,13.40,3.50,2.60,4.50,4.40,60483
98337,16.20,7.70,21.80,20.50,25.70,17.60,24.50,16.90,1.30,13.80,12.10,4.30,14.50,2.10,0.50,4.80,0.50,26.80,27988
98338,4,4.30,23.90,6.30,12.90,11.70,25.90,19.40,0.60,28.60,17.50,15.50,19.20,7.80,1.20,4.10,1.30,7.30,52455
98339,11.70,10,22.40,18.40,25.30,16.50,22.90,15.50,0.60,17.10,11.60,5.30,17.30,4,1.50,0.80,0,12.90,32645
98346,3.90,5.10,36.10,9.50,16.20,13.10,22.70,17.40,1,25.30,12.10,13.80,11.70,8.30,2.10,3.40,1.50,7.40,50824
98349,8.60,5.60,24.20,12.10,18.20,11.20,19,20.90,1.10,18.90,15.40,14,22.10,5,1.30,4.40,2.20,13.20,44167
98350,18.50,14.50,44.30,22.60,13.20,14.50,20.80,11.30,10.40,12.90,0,5.60,11.30,0,0,16.10,0,34.50,21750
98354,5.80,3.70,30.20,10.80,12.10,10.50,29.20,21.70,0.50,27.80,11.90,11.70,16.20,6.50,0.40,4.20,1.20,8.40,48645
98356,12.20,8,22.10,13.50,18.70,16.70,19,18.80,6.20,22.50,10.90,4.60,23,2.20,0.70,4.50,0.80,11.90,34756
98357,23.60,13.20,38,14,17.10,14.90,17.10,11.90,12.80,16.20,5.60,3.60,9.40,2.60,0,15.90,0,31.30,24091
98359,5.80,2.60,30.40,10.90,17.80,13,19.70,19.80,0.70,27,14,10.60,17.50,7.20,1,3.30,2.10,12.30,46278
98360,4.40,3.40,27.20,8.30,12.30,11,22.70,12.70,1.20,31.80,15.80,16.30,21,9.80,0.60,2.50,1.60,6.30,56429
98362,11.80,8.30,28.40,15.50,17.90,13.30,26.30,18.40,2,18.50,11.80,7.70,13.70,3.80,1.70,4.10,0.90,13.10,35721
98363,9.30,5.70,27.60,15.10,19,15.70,24.10,20.90,2.70,20.50,11.50,7.50,15,3.50,1.10,5.30,0.60,12,37791
