ZipCode,Latitude,Longitude,Population,PeoplePerSquareMile,HousingUnits,LandAreaInSqMi,WaterAreaInSqMi
98936,46.540842,-120.333228,3458,39.66,1245,87.19,0
98937,46.71207,-120.970977,3355,5.84,1901,574.13,7.08
98938,46.364164,-120.098712,1992,51.33,598,38.81,0
98941,47.224876,-120.992862,997,69.13,629,14.42,0
98942,46.726395,-120.569974,15328,99.96,5624,153.35,0.09
98944,46.342102,-119.99,20108,141.06,5894,142.55,0.01
98946,47.087352,-120.712329,461,20.62,189,22.36,0.17
98947,46.707735,-120.75713,2599,86.77,869,29.95,0
98948,46.35653,-120.334623,13262,68.42,3785,193.83,0.17
98951,46.457731,-120.467214,13570,110.8,3890,122.48,0.03
98952,46.377579,-120.714402,2684,17.39,687,154.34,0
98953,46.418933,-120.266998,6079,136.42,2079,44.56,0
99001,47.642922,-117.591498,1328,2552.86,628,0.52,0
99003,47.921687,-117.293786,4493,61.13,1691,73.5,0.06
99003,47.921687,-117.293786,4493,61.13,1691,73.5,0.06
99004,47.466974,-117.605757,14407,43.69,5576,329.73,4.61
99005,47.844289,-117.372741,6694,146.87,2250,45.58,0
99006,47.966471,-117.481457,9163,57.3,3560,159.9,0.39
99011,47.595572,-117.673446,4688,448.67,1150,10.45,0.02
99016,47.648693,-117.151167,7009,244.01,2801,28.72,0
99016,47.648693,-117.151167,7009,244.01,2801,28.72,0
99017,47.197445,-117.855585,221,2.41,94,91.68,0.47
99019,47.656171,-117.086287,5370,231.3,2195,23.22,1.07
99021,47.81108,-117.223063,8533,115.44,3285,73.91,0
99022,47.583754,-117.688124,7304,109.29,2704,66.83,1.72
99025,47.751434,-117.069344,4743,121.31,1691,39.1,1.79
99026,47.801194,-117.593259,7500,116.49,2709,64.39,0.06
99027,47.703698,-117.120073,6506,277.1,2521,23.48,0
99029,47.693129,-117.861645,1341,10.72,522,125.08,0.3
99030,47.463725,-117.113197,848,12.3,334,68.94,0
99031,47.432691,-117.374499,942,13.93,370,67.63,0
99032,47.273264,-117.990825,710,2.91,367,243.61,4.64
99033,47.222328,-117.081331,931,30.12,414,30.91,0
99037,47.643346,-117.199937,11963,1150.51,4424,10.4,0.03
99040,47.863857,-118.036613,930,12.14,313,76.62,0.05
99101,48.305861,-117.943185,1295,14.54,517,89.03,0.1
99103,47.721863,-118.955546,577,1.9,270,303.23,0.2
99105,46.866805,-118.132474,57,0.69,33,82.1,0.1
99109,48.269784,-117.734379,4382,16.47,1894,266.01,0.21
99111,46.875136,-117.409203,4209,14.47,1950,290.83,0
99113,46.577614,-117.161337,729,7.6,292,95.96,0.01
99114,48.658512,-117.7671,12359,18.76,5411,658.73,1.67
99115,47.646132,-119.382703,1133,2.75,880,412.27,2.73
99116,47.995847,-118.958621,1587,27.57,753,57.57,3.16
99117,47.757764,-118.493431,548,4.42,347,124.1,0.05
99118,48.890892,-118.644751,1165,5.57,545,209.34,0.01
99119,48.504786,-117.316899,1139,6.51,833,175.04,0.4
99122,47.671143,-118.189385,3272,6.24,1787,524.3,0.35
99125,46.941628,-117.729304,887,4.57,296,194.07,0.13
99130,46.983768,-117.195976,889,10.17,403,87.4,0
99131,48.290089,-118.093263,188,7.53,95,24.97,0
99133,47.947097,-119.007135,1643,13.4,961,122.62,0.94
99134,47.460312,-118.382586,637,2.77,340,229.8,0.31
99137,48.174649,-118.113615,306,4.47,135,68.38,0.04
99138,48.207661,-118.2979,1173,3.86,657,304.22,0.33
99139,48.736168,-117.4111,1187,9.16,685,129.59,0.24
99140,48.080515,-118.694988,439,1.95,205,225.42,0.02
99141,48.690209,-118.100454,5167,12.99,2329,397.8,0.58
99143,46.792982,-117.913136,766,1.97,393,389.4,0.49
99148,48.102048,-117.601307,2001,27.57,1539,72.58,3.54
99153,48.858518,-117.298335,440,2.55,293,172.79,0.16
99155,48.17266,-119.001263,1281,6.65,437,192.72,1.12
99156,48.159752,-117.169844,7073,28.69,3830,246.51,4.4
99157,48.897876,-117.816471,683,11.27,327,60.6,0.03
99158,47.136249,-117.254635,608,7.23,279,84.11,0
99159,47.338736,-118.702353,1645,2.84,724,578.93,2.05
99160,48.86407,-118.205579,115,7.43,67,15.48,0
99161,46.905132,-117.105753,1454,18.15,669,80.11,0
99163,46.732705,-117.186481,26196,122.4,10087,214.01,0
99166,48.657684,-118.72647,2955,7.34,1598,402.61,1.54
99169,47.107228,-118.431368,2534,3.82,1197,663.03,0.82
99170,47.240334,-117.37365,1218,7.17,510,169.86,0.09
99171,47.11653,-117.639388,1072,3.9,511,275.1,3.73
99173,48.030848,-117.795634,1253,10.73,519,116.76,0
99181,48.144634,-117.745645,1870,18.31,908,102.12,1.06
