ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
98360,3.20,19.20,9.70,65.30,37.80,0.90,28.80,5.10,8,9.60,8.70,3.90,43.20,87.10,12.50
98362,3,21.30,11.30,56.60,26.60,1.30,29.40,8.90,8.60,11.90,13,8.10,57,85.70,21.10
98363,2.40,20.90,11.40,57.70,28.80,1.60,31.70,6.80,8.30,13,10.50,6.90,56.50,86.20,17.40
98366,2.60,22,9.20,57.60,29.50,1.40,31.20,6.40,9.60,12.70,11.90,5.90,51,88.20,17.80
98367,2.80,19.60,7.60,65.40,29.80,1,30.80,3.20,9.10,10.80,14,6,56,89.60,20
98368,0.70,18,6,55.30,22.60,0.90,28.50,8.80,7.40,17,21.30,13.60,47.30,93.40,35
98370,1.80,19.30,7.10,63.10,23.20,1.50,29.30,6.40,9,9.70,20.80,8.80,53.70,91.10,29.70
98371,3.30,23.20,11.10,56.20,31.50,1.30,26.10,7.10,7.80,12.20,13.20,6.90,51.80,85.60,20.20
98371,3.30,23.20,11.10,56.20,31.50,1.30,26.10,7.10,7.80,12.20,13.20,6.90,51.80,85.60,20.20
98372,3,24,9.80,57.10,31.40,1.40,29.20,5,5.80,12.60,14.50,6.30,45.10,87.20,20.70
98372,3,24,9.80,57.10,31.40,1.40,29.20,5,5.80,12.60,14.50,6.30,45.10,87.20,20.70
98373,2.10,24,8.10,58.50,31.60,1.60,29.10,3.90,7.60,12.10,14.80,6.70,43.40,89.80,21.50
98374,0.90,21.20,6.60,64.20,30.30,1.60,29.80,3.70,8.20,9.30,16.30,8,47.80,92.60,24.30
98375,2,22.40,8.30,62.10,28.80,0.90,29.30,3.40,10.70,11.20,13.30,7.60,43.50,89.80,20.90
98375,2,22.40,8.30,62.10,28.80,0.90,29.30,3.40,10.70,11.20,13.30,7.60,43.50,89.80,20.90
98376,2.50,21.30,8,54.40,35,1.20,30.20,7.20,5.60,15.90,12,6.60,61.70,89.50,18.60
98377,4.30,14.70,20.30,65,39.80,1.60,19.50,6.40,8.60,12.20,6.10,1.50,48.60,75.50,7.50
98381,11.90,6.40,31.80,77.10,20.90,2.70,23.70,8.90,2.70,4.90,6.10,2.90,66.30,56.30,9
98382,2.60,13.10,8.60,65.50,26.90,1.20,28.30,10.10,8.10,10.10,16.10,9.40,50.30,88.80,25.50
98383,0.90,23.40,5.10,61.50,20.40,1.20,33.20,3.60,10.30,10.30,19.70,10.40,43.30,94,30.10
98387,2.50,22.40,10.90,61,34.60,1.40,29.40,3.20,9.40,12.10,10.50,2.70,48.30,86.70,13.20
98388,1,21,6.40,58.70,20.80,1.80,25.50,5,9.90,13.50,21.30,15,46.80,92.60,36.30
98390,2.20,23.70,9.30,59.90,33.20,1.60,29.50,3.60,7.90,11.30,13.40,4.40,50.90,88.50,17.90
98390,2.20,23.70,9.30,59.90,33.20,1.60,29.50,3.60,7.90,11.30,13.40,4.40,50.90,88.50,17.90
98390,2.20,23.70,9.30,59.90,33.20,1.60,29.50,3.60,7.90,11.30,13.40,4.40,50.90,88.50,17.90
98392,2.20,28.10,8.60,49.40,25.80,1.80,29.30,3.60,6.90,17.10,19.40,7.80,49.80,89.10,27.20
98394,1.90,17,7.40,66.70,37.20,1,18.60,6.60,4.30,8.70,22.60,8,66.40,90.70,30.60
98402,5.50,38.30,20,25.80,30.30,4.90,23.10,10.10,6,20.90,10.10,5.10,25.40,74.60,15.20
98403,2,33.80,6.20,40,17.30,3.30,27.30,5,6.10,17.90,22.40,18.80,40.20,91.80,41.10
98404,10.50,30.30,15.50,46.50,33.80,2.50,23.80,6.70,8,14.10,5.90,2.40,50.10,73.90,8.30
98405,5.40,33.90,12.80,38.70,32.20,2.90,26.80,9.30,7.20,15.20,10.90,4.70,47.20,81.80,15.50
